t,c_pitch_vel_ref,waist_pos_ref,wheel_vel_ref
0.746,0.0,-0.24070052045999749,0.0
0.748,0.0,-0.24435116004562193,0.0
0.75,0.0,-0.24787199999999807,0.0
0.752,0.0,-0.2512632500793719,0.0
0.754,0.0,-0.25452524153999695,0.0
0.756,0.0,-0.2576584291631214,0.0
0.758,0.0,-0.2606633932799978,0.0
0.76,0.0,-0.2635408417968724,0.0
0.762,0.0,-0.26629161221999725,0.0
0.764,0.0,-0.2689166736806216,0.0
0.766,0.0,-0.271417128959997,0.0
0.768,0.0,-0.2737942165143724,0.0
0.77,0.0,-0.27604931249999637,0.0
0.772,0.0,-0.2781839327981223,0.0
0.774,0.0,-0.28019973503999696,0.0
0.776,0.0,-0.28209852063187113,0.0
0.778,0.0,-0.2838822367799971,0.0
0.78,0.0,-0.2855529785156217,0.0
0.782,0.0,-0.2871129907199982,0.0
0.784,0.0,-0.2885646701493721,0.0
0.786,0.0,-0.2899105674599974,0.0
0.788,0.0,-0.29115338923312123,0.0
0.79,0.0,-0.2922959999999969,0.0
0.792,0.0,-0.29334142426687165,0.0
0.794,0.0,-0.29429284853999704,0.0
0.796,0.0,-0.2951536233506223,0.0
0.798,0.0,-0.2959272652799983,0.0
0.8,0.0,-0.29661745898437275,0.0
0.802,0.0,-0.2972280592199973,0.0
0.804,0.0,-0.297763092868122,0.0
0.806,0.0,-0.29822676095999734,0.0
0.808,0.0,-0.2986234407018729,0.0
0.81,0.0,-0.29895768749999646,0.0
0.812,0.0,-0.29923423698562285,0.0
0.8140000000000001,0.0,-0.299458007039996,0.0
0.8160000000000001,0.0,-0.2996340998193724,0.0
0.8180000000000001,0.0,-0.299767803779997,0.0
0.8200000000000001,0.0,-0.29986459570312407,0.0
0.8220000000000001,0.0,-0.2999301427199981,0.0
0.8240000000000001,0.0,-0.2999703043368724,0.0
0.8260000000000001,0.0,-0.2999911344599972,0.0
0.8280000000000001,0.0,-0.299998883420621,0.0
